score_number,user_id,user_country_code,beatmap_id,last_updated,artist,title,difficulty,bpm,od,ar,cs,hp,length,drain_length,beatmap_mode,mapper,mapper_user_id,mapper_country_code,score_id,time,score,max_combo,rank,count_50,count_100,count_300,count_miss,mods,pp,replay
63,6715645,US,139821,2012-06-11 11:05:09,Misato Aki,Spread Wings. (TV Size),Insane,144,7,8,4,7,1:24,1:19,osu,ertyukjh010,220939,HK,3185056583,2020-08-05 02:23:06,3081479,394,XH,0,0,258,0,HDDT,322.568,True
64,6715645,US,1364438,2017-08-14 15:16:24,AiRI,Kimi to Tsukuru Mou Hitotsu no Mirai,Future,134,7.5,8,4.2,6.5,1:57,1:55,osu,sahuang,5318910,CA,3479632297,2021-02-16 17:37:04,8864714,612,SH,0,13,494,0,HDDT,322.085,True
65,6715645,US,876674,2016-07-01 14:09:31,FELT,OUR SHIP,Lunatic,144,7,8.5,4,6,4:01,3:15,osu,MokouSmoke,2601947,US,4189741596,2022-06-14 03:49:09,19748423,959,SH,0,2,707,0,HDDT,321.323,True
66,6715645,US,2183893,2020-05-09 22:58:59,Bird Bear Hare and Fish,Laika (TV Size),Hope,148,8,9,4,5,1:31,1:31,osu,Vendanger,7420715,CA,4346032497,2022-12-28 03:19:59,3950186,433,SH,0,1,309,0,HDDT,321.046,True
67,6715645,US,2419085,2021-01-05 11:09:39,AliA,Kakurenbo,"Ready, Set, Go!",180,9,9.5,4,5,4:54,4:37,osu,Chizu-Kun,10288461,MY,3494767829,2021-02-24 04:18:21,37627674,1431,A,0,12,1119,1,HD,319.911,False
68,6715645,US,475188,2020-08-26 06:07:08,Rita,Little Busters! ~TV animation ver.~,Insane,151,7,8,4,6,4:23,4:03,osu,pkhg,343624,CL,3319331218,2020-11-12 05:15:05,32485353,1278,SH,1,22,861,0,HDDT,319.83,True
69,6715645,US,657509,2015-09-29 01:58:28,Reol,Asymmetry,Extra,184,8.5,9.4,4.1,7.1,4:11,4:08,osu,Gaia,2683648,CA,2868688253,2019-08-09 05:31:35,57601631,1544,A,0,12,1121,2,HD,319.505,True
70,6715645,US,1983519,2019-08-30 16:08:32,THEATRE BROOK,Uragiri no Yuuyake -TV Size Long Ver.-,xChorse's Insane,151,7,8.6,4,5.6,1:52,1:52,osu,xChorse,2217628,LT,3539152364,2021-03-18 02:19:40,5723067,554,XH,0,0,369,0,HDDT,319.019,True
71,6715645,US,2691260,2020-11-24 13:36:03,TOKYO GIRLS' STYLE,Reflection,Someone Special,130,8,8,4.3,6.5,4:14,3:46,osu,timemon,2072005,TH,3955033366,2021-11-17 19:09:58,20206152,908,SH,0,2,616,0,HDDT,318.911,True
72,6715645,US,369246,2014-09-18 08:02:26,Another Infinity feat. Mayumi Morinaga,Glitter (Starving Trancer Remix),Insane,140,8,8,4,7,3:42,3:08,osu,wmtokok,1367674,HK,2856134184,2019-07-22 02:22:11,21863369,949,SH,0,8,616,0,HDDT,318.892,True
73,6715645,US,1467820,2018-06-22 18:17:02,zakuro,Inochi ni Kirawarete Iru.,Delis' Extra,200,9,9,4,8,4:02,3:34,osu,Delis,1603923,JP,4021988891,2022-01-10 06:03:12,38788178,1240,A,2,18,915,2,HDHR,318.866,True
74,6715645,US,2599070,2020-09-23 23:58:41,Galileo Galilei,Circle Game,Flower,123,7.5,8.5,4,5,4:34,4:20,osu,browiec,9426712,PL,3653433520,2021-05-11 06:10:40,25756032,1094,SH,0,3,809,0,HDDT,318.753,True
