score_number,user_id,beatmap_id,artist,title,difficulty,score_id,time,score,max_combo,rank,count_50,count_100,count_300,count_miss,mods,pp,replay
50,13473514,2044368,Oomori Seiko,JUSTadICE (TV Size),Reform's Expert,3921397402,2021-10-24 03:11:03,3940423,461,A,0,12,320,3,HDDT,317.719,False
51,13473514,1046951,Cartoon,Whatever I Do (feat. Kostja),Insane,4117242915,2022-04-02 22:00:19,3803722,389,SH,0,6,251,0,HDDT,316.678,True
52,13473514,1869933,Aiurabu,Kani*Do-Luck! (TV Size),A I U R A !,3994200755,2021-12-18 23:32:43,3315586,386,S,0,4,257,0,HR,316.431,False
53,13473514,3832960,kessoku band,Seishun Complex,POISONOUS DARKNESS,4351584606,2023-01-04 19:36:50,28977690,1273,A,0,8,949,3,None,312.896,False
54,13473514,2098548,Bliitzit,Team Magma & Aqua Leader Battle Theme (Unofficial),SMOKELIND's Insane,3922280851,2021-10-24 17:29:00,2713505,392,SH,0,9,240,0,HDNC,310.402,True
55,13473514,3257738,Rika (CV: Tamura Yukari) & Satoko (CV: Kanai Mika) & Hanyuu (CV: Horie Yui),Happy! Lucky! Dochy! (TV Size),Ultra,4096994242,2022-03-15 02:27:30,5964530,620,S,0,3,369,0,HR,308.933,True
56,13473514,1255495,96neko,Uso no Hibana,NiNo's Extra,3709401616,2021-06-08 21:46:44,26302144,1169,S,0,11,913,0,None,307.558,False
57,13473514,1555610,ONE OK ROCK,Bombs away,Another,3919818286,2021-10-23 02:37:32,2496676,349,SH,0,5,227,0,HDDT,306.964,False
58,13473514,1799638,Momohara Natsuki (CV: Murakawa Rie),Natsuzora Yell (TV Size),Imouto,4361512423,2023-01-18 23:04:16,437390,117,A,0,6,131,1,HDDT,306.619,False
59,13473514,2757259,MY FIRST STORY feat. chelly (EGOIST),"1,000,000 TIMES",The Story of Me and You,4205563718,2022-06-30 23:01:37,46819930,1457,A,7,37,1394,3,None,306.274,True
60,13473514,1262832,ClariS,Hitorigoto -TV MIX-,Soliloquy,4415349499,2023-04-09 19:19:28,3105582,288,A,0,6,333,1,HDDT,304.4,False
61,13473514,2150737,Momohara Natsuki (CV: Murakawa Rie),Natsuzora Yell (TV Size),Reform's Expert,4358766230,2023-01-14 22:06:01,463988,140,SH,0,4,119,0,HDDT,303.132,False
62,13473514,1830300,TK from Ling tosite sigure,unravel (TV Size),Seto's A Rated Ghoul,3903194551,2021-10-10 19:42:55,4026194,458,SH,0,13,301,0,HDDT,302.822,True
63,13473514,1658474,Roselia,Six Trillion Years and Overnight Story,Ewigkeit,4020587497,2022-01-09 02:20:21,8244218,544,A,0,7,527,1,HD,302.643,False
64,13473514,2302615,Station Earth,Cold Green Eyes feat. Roos Denayer,Maestro's Insane,3910334388,2021-10-16 04:58:31,13088870,884,SH,1,6,514,0,HDDT,301.963,True
65,13473514,3229766,SmokyThrill77,Congrathalations! (Cut Ver.),browiec's Expert,4398802006,2023-03-16 01:39:23,2724564,353,A,0,11,327,4,HDDT,301.91,False
66,13473514,3963421,MIMI vs. Leah Kate,10 Things I Hate About Ai no Sukima,Mommy's Radiance,4412734494,2023-04-06 02:13:45,4741320,450,A,0,12,329,1,None,301.164,False
67,13473514,2514777,Seth Everman,"how to create the weeknd's ""blinding lights""",mario and bowser kissing (illegal),3903290585,2021-10-10 21:09:33,804683,199,SH,0,3,126,0,HDDT,300.88,False
68,13473514,1725588,THE ORAL CIGARETTES,5150,Sotarks' Cataclysm,4118357569,2022-04-03 20:50:02,5529619,514,A,0,9,501,2,HR,300.816,False
69,13473514,1570203,toby fox,Last Goodbye,Determination,3904604985,2021-10-11 20:51:41,4355181,422,A,0,2,351,3,HR,300.384,False
70,13473514,3870286,kessoku band,Guitar to Kodoku to Aoi Hoshi,guitarhero,4408702519,2023-03-31 02:04:04,21331780,927,A,3,12,1005,4,None,296.612,False
71,13473514,742975,Project Grimoire,Caliburne ~Story of the Legendary sword~,Extra,4001574173,2021-12-24 20:45:40,15825565,877,A,0,13,582,2,HR,296.276,False
72,13473514,1201303,Hanasaka Yui(CV: M.A.O),Harumachi Clover,HatsuKoi,4341571650,2022-12-22 01:45:10,598080,149,SH,0,4,132,0,HDDT,295.488,False
73,13473514,1563453,Tsuneki Hikari (CV: Sakura Ayane),Shunkan Happening (TV Size),Hikari,3803089771,2021-08-03 20:07:08,8344549,579,SH,1,8,436,0,HD,295.454,True
74,13473514,2265858,Camellia feat. Nanahira,Animal Land,Wan Wan Wan Wan Wan Wan Wan,4202908786,2022-06-28 02:54:51,5305652,534,SH,0,6,347,0,HDDT,295.118,True
75,13473514,3697057,Good Kid,Slingshot,Falling Apart,4369163502,2023-01-29 23:37:46,10077288,616,A,0,4,598,4,HDHR,294.784,True
76,13473514,1029562,9mm Parabellum Bullet,Inferno,Tortured Soul Extra,4239166546,2022-08-06 19:13:37,10959030,694,A,2,56,508,0,None,294.665,False
77,13473514,1915794,Will Stetson,POP/STARS,Extra,4326996334,2022-12-01 03:05:57,2071244,310,A,0,21,274,5,HDDT,294.538,False
